NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
6016	1	-1	-1	194.076004	0	0	0	6016	1.000000	0.001458	0.000000	0	0	0
6070	1	-1	-1	195.076157	0	0	0	6067	1.000000	0.001458	0.000000	0	0	0
6219	1	-1	-1	196.076157	0	0	0	6212	1.000000	0.001458	0.000000	0	0	0
6219	1	-1	-1	196.076157	9	9	0	7	1.206277	0.001458	194.086761	1	0	0
6359	1	-1	-1	197.076202	0	0	0	6351	1.000000	0.001458	0.000000	0	0	0
6359	1	-1	-1	197.076202	9	9	0	8	1.206277	0.001458	194.086761	1	0	0
6473	1	-1	-1	198.076202	0	0	0	6458	1.000000	0.001458	0.000000	0	0	0
6473	1	-1	-1	198.076202	9	9	0	15	1.206277	0.001458	194.086761	1	0	0
6553	1	-1	-1	199.076355	0	0	0	6538	1.000000	0.001458	0.000000	0	0	0
6553	1	-1	-1	199.076355	9	9	0	15	1.206277	0.001458	194.086761	1	0	0
6649	1	-1	-1	200.000092	0	0	0	6637	1.000000	0.001458	0.000000	0	0	0
6649	1	-1	-1	200.000092	9	9	0	12	1.206277	0.001458	194.086761	1	0	0
6649	1	100	0	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	0	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	1	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	2	200.000092	0	0	0	91	1.000000	0.001458	0.000000	0	0	0
6649	1	100	2	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	3	200.000092	0	0	0	92	1.000000	0.001458	0.000000	0	0	0
6649	1	100	3	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	4	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	4	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	5	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	5	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	6	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	6	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	7	200.000092	0	0	0	92	1.000000	0.001458	0.000000	0	0	0
6649	1	100	7	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	8	200.000092	0	0	0	93	1.000000	0.001458	0.000000	0	0	0
6649	1	100	8	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	9	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	9	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	10	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	10	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	100	-1	200.000092	0	0	0	100	1.000000	0.001458	0.000000	0	0	0
6649	1	100	-1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	0	200.000092	0	0	0	447	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	0	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	1	200.000092	0	0	0	532	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	1	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	2	200.000092	0	0	0	658	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	2	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	3	200.000092	0	0	0	765	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	3	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	4	200.000092	0	0	0	834	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	4	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	5	200.000092	0	0	0	829	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	5	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	6	200.000092	0	0	0	844	1.000000	0.001458	0.000000	0	0	0
6649	1	1000	6	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	1	1000	7	200.000092	0	0	0	784	1.000000	0.001458	0.000000	0	0	0
