Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
163.085724	4602	216335	211734	308	32.483921	0.000000	21.535309	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1725	1720	1	22	16	13052	2	40939	4602	0	0	0	0	0	0	0	0	0	0
164.085861	4634	220939	216306	314	32.756798	0.000000	22.878536	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1733	1726	1	22	16	13296	2	41787	4634	0	0	0	0	0	0	0	0	0	0
165.085892	4714	225536	220823	318	32.790199	0.000000	22.158636	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1757	1749	1	22	16	13555	2	42644	4714	0	0	0	0	0	0	0	0	0	0
166.085892	4747	230332	225586	322	33.029915	0.000000	21.276438	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1795	1789	1	22	16	13850	2	43540	4747	0	0	0	0	0	0	0	0	0	0
167.086029	4843	235220	230378	331	33.220936	0.000000	21.657934	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1819	1811	1	22	17	14129	2	44431	4843	0	0	0	0	0	0	0	0	0	0
168.086029	4987	240197	235211	334	33.471024	0.000000	21.365648	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1914	1906	1	22	17	14464	2	45402	4987	0	0	0	0	0	0	0	0	0	0
169.086044	5037	245316	240280	342	33.664879	0.000000	21.980183	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1926	1917	1	22	17	14764	2	46349	5037	0	0	0	0	0	0	0	0	0	0
170.086060	5070	250224	245155	351	33.923668	0.000000	22.983271	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1987	1975	1	23	19	15080	2	47313	5070	0	0	0	0	0	0	0	0	0	0
171.086075	5243	255395	250153	352	34.198933	0.000000	23.727562	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2056	2048	1	23	18	15428	2	48299	5243	0	0	0	0	0	0	0	0	0	0
172.086090	5298	260727	255430	361	34.415630	0.000000	24.153870	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	2081	2071	1	23	19	15711	2	49310	5298	0	0	0	0	0	0	0	0	0	0
