Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
226.078094	8614	598629	590016	899	48.401905	0.051776	59.237316	0.050257	1.010608e+00	1.457678e-03	2.089453e-03	0.000000e+00	3337	3313	3	33	24	35608	3	113686	8173	436	5	0	0	0	0	0	0	0	0
227.078110	8656	607369	598714	910	48.437614	0.056031	60.371147	0.054740	1.011443e+00	1.457678e-03	2.251447e-03	0.000000e+00	3329	3310	3	33	25	36067	3	115307	8179	469	8	0	0	0	0	0	0	0	0
228.078232	8695	616285	607591	925	48.791836	0.057044	61.027996	0.054941	1.011696e+00	1.457678e-03	2.289368e-03	0.000000e+00	3353	3337	3	33	24	36595	3	117012	8204	486	5	0	0	0	0	0	0	0	0
229.078232	8770	625125	616356	941	48.895325	0.056442	61.928989	0.053940	1.011600e+00	1.457678e-03	2.266460e-03	0.000000e+00	3303	3285	3	33	25	37034	3	118593	8278	489	3	0	0	0	0	0	0	0	0
230.078384	8866	634049	625184	952	49.178436	0.057298	63.168587	0.054241	1.011805e+00	1.457678e-03	2.298411e-03	0.000000e+00	3317	3300	3	33	28	37541	3	120255	8359	506	1	0	0	0	0	0	0	0	0
231.078400	8882	643112	634231	971	49.388203	0.057757	62.165756	0.054421	1.011914e+00	1.457678e-03	2.315608e-03	0.000000e+00	3396	3377	2	33	27	38111	3	121992	8369	513	0	0	0	0	0	0	0	0	0
232.078430	8965	652109	643145	989	49.537201	0.057780	60.994888	0.054441	1.011919e+00	1.457678e-03	2.316432e-03	0.000000e+00	3419	3399	2	34	29	38623	3	123718	8447	518	0	0	0	0	0	0	0	0	0
233.078583	8956	661108	652153	995	49.746204	0.058843	59.211555	0.055379	1.012138e+00	1.457678e-03	2.356375e-03	0.000000e+00	3466	3450	2	34	29	39205	3	125475	8429	527	0	0	0	0	0	0	0	0	0
234.078613	9014	670265	661252	1008	50.002995	0.057022	61.604683	0.053773	1.011762e+00	1.457678e-03	2.288014e-03	0.000000e+00	3500	3484	2	35	28	39722	3	127227	8500	514	0	0	0	0	0	0	0	0	0
235.078613	9056	679456	670401	1021	50.081604	0.057310	62.375385	0.054027	1.011822e+00	1.457678e-03	2.298803e-03	0.000000e+00	3565	3551	2	35	31	40313	3	129039	8537	519	0	0	0	0	0	0	0	0	0
236.078720	9105	688690	679586	1038	50.216034	0.058429	62.674740	0.055016	1.012053e+00	1.457678e-03	2.340864e-03	0.000000e+00	3510	3491	2	35	30	40817	3	130820	8573	532	0	0	0	0	0	0	0	0	0
237.078735	9129	697971	688843	1050	50.344727	0.057947	63.297848	0.054589	1.011950e+00	1.457678e-03	2.321742e-03	0.000000e+00	3537	3527	3	36	31	41400	3	132647	8600	529	0	0	0	0	0	0	0	0	0
238.078796	9208	707308	698101	1067	50.628258	0.057993	63.507561	0.054629	1.011957e+00	1.457678e-03	2.322419e-03	0.000000e+00	3610	3592	3	36	28	41959	5	134457	8674	534	0	0	0	0	0	0	0	0	0
239.078812	9248	716460	707213	1080	50.764381	0.059797	65.594345	0.056220	1.012317e+00	1.457678e-03	2.385935e-03	0.000000e+00	3651	3638	3	36	28	42500	5	136194	8695	553	0	0	0	0	0	0	0	0	0
240.078812	9310	725865	716556	1099	50.991623	0.061547	65.289474	0.057758	1.012661e+00	1.457678e-03	2.444999e-03	0.000000e+00	3610	3595	3	37	31	43008	5	137951	8737	573	0	0	0	0	0	0	0	0	0
241.078842	9296	735186	725891	1113	51.169537	0.061532	64.171288	0.057745	1.012584e+00	1.457678e-03	2.427114e-03	0.000000e+00	3579	3562	4	37	30	43502	5	139640	8724	572	0	0	0	0	0	0	0	0	0
242.078873	9322	744545	735224	1130	51.392082	0.060824	62.952343	0.057124	1.012466e+00	1.457678e-03	2.404516e-03	0.000000e+00	3620	3599	4	37	31	44072	5	141437	8755	567	0	0	0	0	0	0	0	0	0
243.078964	9402	754088	744687	1141	51.441395	0.060519	62.616032	0.056856	1.012421e+00	1.457678e-03	2.399720e-03	0.000000e+00	3652	3632	4	37	32	44612	5	143230	8833	569	0	0	0	0	0	0	0	0	0
244.078979	9445	763640	754196	1151	51.619904	0.062573	63.032036	0.058657	1.012830e+00	1.457678e-03	2.471233e-03	0.000000e+00	3651	3634	4	37	30	45147	5	144965	8854	591	0	0	0	0	0	0	0	0	0
245.079132	9471	773439	763969	1162	51.859676	0.065885	61.701035	0.061542	1.013528e+00	1.457678e-03	2.596181e-03	0.000000e+00	3596	3579	3	37	29	45660	5	146807	8847	624	0	0	0	0	0	0	0	0	0
246.079132	9511	783157	773647	1180	52.041950	0.068132	60.364178	0.063489	1.013934e+00	1.457678e-03	2.658703e-03	0.000000e+00	3708	3689	3	37	29	46303	5	148745	8863	648	0	0	0	0	0	0	0	0	0
247.079178	9533	792902	783370	1197	52.359909	0.072800	62.308167	0.067501	1.014830e+00	1.457678e-03	2.806429e-03	0.000000e+00	3704	3685	4	37	29	46803	5	150605	8839	694	0	0	0	0	0	0	0	0	0
248.079269	9576	802602	793027	1207	52.397453	0.077277	63.138523	0.071306	1.015655e+00	1.457678e-03	2.933749e-03	0.000000e+00	3690	3677	4	37	29	47333	5	152392	8836	740	0	0	0	0	0	0	0	0	0
