Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
28	2165	3813	3813	4	0	1	0	2.578401	0.001458	667.197388	28
1	339	4017	4017	6	0	0	3	2.814846	0.001458	670.704834	1
34	483	3875	3875	6	0	1	1	3.134844	0.001458	668.412415	34
5	287	3972	3972	5	0	0	1	2.803057	0.001458	670.060669	5
6	287	3815	3815	5	0	1	1	2.464544	0.001458	667.210815	6
3	1077	3818	3818	7	0	1	1	3.717672	0.001458	667.259399	3
5	287	3908	3908	5	0	0	2	2.598016	0.001458	668.897766	5
1	105	4022	4022	3	0	0	0	1.982749	0.001458	670.792297	1
1	483	4014	4014	6	0	0	2	3.122982	0.001458	670.677246	1
1	1498	4021	4021	4	0	0	0	2.437069	0.001458	670.771118	1
6	105	3973	3973	3	0	0	0	1.908120	0.001458	670.069580	6
7	483	3948	3948	6	0	0	1	2.986333	0.001458	669.641296	7
6	105	3956	3956	3	0	0	0	1.964567	0.001458	669.729309	6
1	2345	3951	3951	4	0	0	0	2.380272	0.001458	669.675964	1
1	483	3974	3974	6	0	0	1	3.071824	0.001458	670.087708	1
2	483	3998	3998	6	0	0	1	3.049648	0.001458	670.453308	2
1	483	4018	4018	6	0	0	1	3.140237	0.001458	670.751282	1
1	1749	3999	3999	7	0	0	1	4.350854	0.001458	670.479492	1
1	1351	4010	4010	7	0	0	2	3.496004	0.001458	670.594055	1
2	483	4015	4015	6	0	0	1	3.054675	0.001458	670.680298	2
2	287	4007	4007	5	0	0	1	2.452092	0.001458	670.570557	2
2	1351	4003	4003	7	0	0	2	3.591741	0.001458	670.502625	2
1	1693	4004	4004	7	0	0	1	3.720410	0.001458	670.509705	1
