Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
502.088287	92954	10521203	10428250	15287	121.535988	1.982830	48.637398	0.254745	2.274381e+00	1.457678e-03	1.207541e-01	0.000000e+00	35584	35406	11	223	215	614788	34	2002457	2409	4600	78950	6168	827	0	0	0	0	0	0
503.088287	95490	10736062	10640573	15613	122.092766	1.993853	48.082413	0.251259	2.283366e+00	1.457678e-03	1.152407e-01	0.000000e+00	36409	36233	15	228	217	627447	34	2043268	2315	4341	81457	6370	1007	0	0	0	0	0	0
504.088287	98679	10958411	10859733	15939	122.729607	2.008989	46.300995	0.245735	2.294529e+00	1.457678e-03	1.081700e-01	0.000000e+00	37422	37223	13	234	221	640504	37	2085352	2113	4080	84561	6657	1268	0	0	0	0	0	0
505.088287	101977	11190304	11088328	16305	123.434303	2.025035	44.355003	0.233036	2.306059e+00	1.457678e-03	9.823950e-02	0.000000e+00	38847	38636	12	241	232	654204	37	2129201	1805	3777	87902	7046	1447	0	0	0	0	0	0
506.088287	104743	11428731	11323989	16640	124.066490	2.040404	41.235527	0.215716	2.316738e+00	1.457678e-03	8.734873e-02	0.000000e+00	40091	39898	17	246	237	668346	38	2174448	1413	3507	90776	7529	1518	0	0	0	0	0	0
507.088287	107040	11673894	11566855	16999	124.670319	2.054307	40.472794	0.209089	2.325941e+00	1.457678e-03	8.015846e-02	0.000000e+00	40958	40762	19	255	243	682641	40	2220937	1192	3193	92933	8054	1668	0	0	0	0	0	0
508.088287	110017	11927039	11817023	17356	125.286346	2.068408	39.352787	0.200844	2.335757e+00	1.457678e-03	7.124427e-02	0.000000e+00	42091	41875	21	260	252	697532	43	2268926	1019	2717	95771	8739	1771	0	0	0	0	0	0
509.088318	113751	12188858	12075108	17738	125.887169	2.085467	37.752678	0.192955	2.347201e+00	1.457678e-03	6.186408e-02	0.000000e+00	43632	43417	19	265	258	713096	44	2318856	770	2228	99255	9506	1992	0	0	0	0	0	0
510.088318	117635	12461288	12343654	18119	126.471336	2.099027	36.657001	0.192686	2.355967e+00	1.457678e-03	5.728769e-02	0.000000e+00	44956	44745	17	275	266	729167	44	2370310	608	1939	102608	10156	2324	0	0	0	0	0	0
511.088318	121169	12744029	12622861	18506	127.100204	2.113932	34.885300	0.194014	2.365665e+00	1.457678e-03	5.316669e-02	0.000000e+00	46267	46045	21	281	274	745812	44	2424046	408	1641	105628	10722	2770	0	0	0	0	0	0
512.088318	125013	13035679	12910667	18926	127.706612	2.128995	33.749279	0.198747	2.374480e+00	1.457678e-03	5.021771e-02	0.000000e+00	47757	47517	19	294	285	763386	44	2479790	269	1347	108627	11529	3241	0	0	0	0	0	0
513.088318	129685	13338291	13208607	19351	128.291107	2.147627	32.790333	0.206942	2.383504e+00	1.457678e-03	4.757616e-02	0.000000e+00	49296	49067	19	300	292	781124	44	2537259	143	1034	111843	12865	3800	0	0	0	0	0	0
514.088318	134791	13654863	13520073	19842	128.870270	2.161212	32.154385	0.213482	2.389077e+00	1.457678e-03	4.605615e-02	0.000000e+00	51296	51038	22	307	303	799873	46	2597426	87	836	115308	14380	4180	0	0	0	0	0	0
515.088318	139750	13983759	13844010	20350	129.381500	2.167835	32.472469	0.216043	2.392900e+00	1.457678e-03	4.535825e-02	0.000000e+00	53282	52988	21	316	313	819553	46	2660251	36	727	119239	15242	4506	0	0	0	0	0	0
516.088318	144085	14322929	14178845	20886	129.913147	2.176167	32.593540	0.223837	2.397465e+00	1.457678e-03	4.628732e-02	0.000000e+00	54847	54549	23	324	319	839403	47	2725082	24	624	122353	16113	4971	0	0	0	0	0	0
517.088318	148119	14673094	14524976	21389	130.448578	2.186195	32.502419	0.233612	2.403038e+00	1.457678e-03	4.742110e-02	0.000000e+00	56574	56290	25	336	330	860188	52	2791842	9	475	125128	16946	5557	4	0	0	0	0	0
518.088318	152054	15033656	14881603	21949	131.016479	2.199212	32.809040	0.248641	2.410119e+00	1.457678e-03	5.035157e-02	0.000000e+00	58271	57981	20	343	337	881352	52	2860367	1	367	127437	17838	6411	0	0	0	0	0	0
519.088318	156296	15405897	15249602	22528	131.552109	2.211106	33.581352	0.264046	2.416072e+00	1.457678e-03	5.376292e-02	0.000000e+00	59730	59416	24	355	350	902950	52	2930938	0	321	129964	18706	7305	0	0	0	0	0	0
520.088318	160698	15788547	15627850	23081	132.083221	2.223357	34.105007	0.278793	2.421674e+00	1.457678e-03	5.669117e-02	0.000000e+00	61689	61396	26	360	354	925881	52	3004300	0	261	132474	19773	8189	1	0	0	0	0	0
521.088318	165986	16183959	16017974	23641	132.579544	2.234068	34.483898	0.289256	2.425742e+00	1.457678e-03	5.813495e-02	0.000000e+00	63509	63199	26	369	359	949470	53	3080264	0	170	135757	21096	8963	0	0	0	0	0	0
522.088318	171118	16591722	16420605	24233	133.064804	2.243867	34.976856	0.298990	2.429323e+00	1.457678e-03	5.951354e-02	0.000000e+00	65283	64958	29	377	370	973513	59	3157650	0	85	138950	22351	9732	0	0	0	0	0	0
523.088318	175754	17011779	16836026	24840	133.558685	2.253491	35.584301	0.310279	2.433107e+00	1.457678e-03	6.167265e-02	0.000000e+00	67448	67116	26	394	379	998427	59	3237663	0	51	141697	23409	10597	0	0	0	0	0	0
524.088318	179658	17444745	17265088	25467	134.045380	2.264018	36.448601	0.323341	2.437721e+00	1.457678e-03	6.467357e-02	0.000000e+00	69390	69061	26	401	391	1023953	59	3320586	0	44	143673	24405	11536	0	0	0	0	0	0
525.088318	183609	17887422	17703814	26116	134.555817	2.275025	37.387138	0.337605	2.442807e+00	1.457678e-03	6.806330e-02	0.000000e+00	70500	70176	26	406	398	1049582	59	3404824	0	33	145711	25200	12665	0	0	0	0	0	0
526.088318	188067	18342251	18154185	26768	135.083237	2.284930	38.401787	0.350367	2.447364e+00	1.457678e-03	7.103284e-02	0.000000e+00	71842	71513	29	417	410	1075897	60	3491281	0	23	148185	26110	13748	1	0	0	0	0	0
527.088318	192700	18807098	18614399	27471	135.592606	2.295065	39.770077	0.363325	2.452308e+00	1.457678e-03	7.424864e-02	0.000000e+00	74216	73870	32	429	422	1103581	62	3580100	0	14	150773	26953	14960	0	0	0	0	0	0
528.088318	197796	19285746	19087951	28188	136.112579	2.303358	41.179588	0.373299	2.456117e+00	1.457678e-03	7.673113e-02	0.000000e+00	75931	75564	34	448	441	1131688	64	3671388	0	17	153745	28049	15984	1	0	0	0	0	0
529.088318	202910	19777848	19574939	28878	136.648239	2.311956	42.437885	0.381965	2.459215e+00	1.457678e-03	7.867575e-02	0.000000e+00	77835	77454	36	458	445	1160394	64	3765005	0	24	156525	29399	16962	0	0	0	0	0	0
530.088318	208262	20283797	20075536	29598	137.145370	2.320764	43.368717	0.391509	2.462904e+00	1.457678e-03	8.098389e-02	0.000000e+00	79764	79381	39	467	456	1190254	68	3861413	0	26	159476	30692	18067	1	0	0	0	0	0
531.088318	214104	20804866	20590763	30378	137.653305	2.328821	44.569916	0.401483	2.466613e+00	1.457678e-03	8.343396e-02	0.000000e+00	82403	81985	41	475	463	1221392	71	3960739	0	27	162955	31818	19301	3	0	0	0	0	0
